server-name,server-dc,server-region
Behemoth,Primal,NA
Excalibur,Primal,NA
Exodus,Primal,NA
Famfrit,Primal,NA
Hyperion,Primal,NA
Lamia,Primal,NA
Leviathan,Primal,NA
Ultros,Primal,NA
Adamantoise,Aether,NA
Cactuar,Aether,NA
Faerie,Aether,NA
Gilgamesh,Aether,NA
Jenova,Aether,NA
Midgardsormr,Aether,NA
Sargatanas,Aether,NA
Siren,Aether,NA
Balmung,Crystal,NA
Brynhildr,Crystal,NA
Coeurl,Crystal,NA
Diabolos,Crystal,NA
Goblin,Crystal,NA
Malboro,Crystal,NA
Mateus,Crystal,NA
Zalera,Crystal,NA
Halicarnassus,Dynamis,NA
Maduin,Dynamis,NA
Marilith,Dynamis,NA
Seraph,Dynamis,NA